,Company,Security,GICS Sector,GICS Sub-Industry,Founded,Open,High,Low,Close,Volume,Dividends,Stock Splits,Year,Month,Day,Date
5760,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,1925,176.05,195.86,164.04,194.64,54588100,1.2,0,2022,7,1,2022/07/01
5761,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,1925,192.86,198.09,179.06,182.61,59537400,0,0,2022,8,1,2022/08/01
5762,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,1925,180.2,190.51,158.78,162.22,59363000,0,0,2022,9,1,2022/09/01
5763,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,1925,165.53,217.01,164.16,214,69677900,1.2,0,2022,10,1,2022/10/01
5764,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,1925,217.59,238.71,210.36,235.29,69076700,0,0,2022,11,1,2022/11/01
5765,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,1925,235.78,243.89,224.49,238.42,60974600,0,0,2022,12,1,2022/12/01
5766,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,1925,239.54,264.78,235.08,251.09,70851700,1.2,0,2023,1,1,2023/01/01
5767,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,1925,251.75,252.7,233.02,239.55,60486800,0,0,2023,2,1,2023/02/01
5768,CAT,Caterpillar Inc.,Industrials,Construction Machinery & Heavy Transportation Equipment,1925,242.01,255.7,211.43,228.84,76601100,0,0,2023,3,1,2023/03/01
5769,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,123.5,137,119.02,132.9,18836800,0,0,2018,1,1,2018/01/01
5770,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,132.68,135.42,95.74,110.77,48600700,0,0,2018,2,1,2018/02/01
5771,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,110.39,123.18,109.47,112.84,28404200,0.27,0,2018,3,1,2018/03/01
5772,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,113.09,114.13,103.42,105.85,20562900,0,0,2018,4,1,2018/04/01
5773,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,105.46,108.6,96.38,96.71,28671700,0.27,0,2018,5,1,2018/05/01
5774,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,98.26,107.03,96.97,103.45,24453600,0,0,2018,6,1,2018/06/01
5775,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,102.76,105.53,93.44,96.55,13545000,0,0,2018,7,1,2018/07/01
5776,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,96.49,103.35,90.55,100.2,19887900,0.31,0,2018,8,1,2018/08/01
5777,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,100.37,108.8,95.29,95.68,16520900,0,0,2018,9,1,2018/09/01
5778,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,95.22,114.27,93.49,112.52,21477100,0,0,2018,10,1,2018/10/01
5779,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,113.34,114.77,104.23,107.31,17033900,0.31,0,2018,11,1,2018/11/01
5780,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,107.72,109.25,87.87,97.83,16879100,0,0,2018,12,1,2018/12/01
5781,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,95.94,99.47,89.54,93.27,15615000,0,0,2019,1,1,2019/01/01
5782,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,92.9,99.43,92.15,95.91,16571100,0,0,2019,2,1,2019/02/01
5783,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,96.15,98.36,89.53,95.44,17955100,0,0,2019,3,1,2019/03/01
5784,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,95.45,102.48,94.03,101.61,11390300,0,0,2019,4,1,2019/04/01
5785,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,101.23,109.67,99.81,108.54,16810800,0,0,2019,5,1,2019/05/01
5786,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,108.25,112.91,103.46,103.63,14580100,0,0,2019,6,1,2019/06/01
5787,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,104.68,115.92,104.25,109.31,11154100,0,0,2019,7,1,2019/07/01
5788,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,109.11,122.88,108.1,119.16,14511300,0,0,2019,8,1,2019/08/01
5789,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,117.12,120.35,109.2,114.91,14390700,0,0,2019,9,1,2019/09/01
5790,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,115.28,118.45,112.19,115.15,12394100,0,0,2019,10,1,2019/10/01
5791,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,119.47,124.88,112.45,118.9,15347000,0,0,2019,11,1,2019/11/01
5792,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,118.04,121.85,114.14,120,12736400,0,0,2019,12,1,2019/12/01
5793,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,119.7,124.19,114.45,123.22,13107000,0,0,2020,1,1,2020/01/01
5794,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,124,127.93,111.86,114,16519600,0,0,2020,2,1,2020/02/01
5795,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,112.42,121.09,72.01,89.25,32279900,0,0,2020,3,1,2020/03/01
5796,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,86.4,104.39,84.92,99.38,22623200,0,0,2020,4,1,2020/04/01
5797,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,98.99,106.46,92.03,106.46,14299100,0,0,2020,5,1,2020/05/01
5798,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,106.61,107.12,90.86,93.28,19173500,0,0,2020,6,1,2020/06/01
5799,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,93.45,97.79,85.54,87.7,16041900,0,0,2020,7,1,2020/07/01
5800,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,86.92,94.27,85,91.79,17189300,0,0,2020,8,1,2020/08/01
5801,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,91.2,92.16,83.79,87.74,18780400,0,0,2020,9,1,2020/09/01
5802,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,88.5,89.37,77.63,81.29,21215200,0,0,2020,10,1,2020/10/01
5803,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,82,94.52,82,91.32,16288200,0,0,2020,11,1,2020/11/01
5804,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,91.71,94,84.65,93.12,16729100,0,0,2020,12,1,2020/12/01
5805,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,92.89,101.6,90.17,91.73,13615900,0,0,2021,1,1,2021/01/01
5806,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,92.16,102.26,87,98.96,18637500,0,0,2021,2,1,2021/02/01
5807,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,100.07,106.92,96.02,98.69,16281400,0,0,2021,3,1,2021/03/01
5808,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,99.21,107.77,98.1,104.37,9352600,0,0,2021,4,1,2021/04/01
5809,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,105.79,116.39,104.8,111.3,10648200,0,0,2021,5,1,2021/05/01
5810,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,112.46,122.27,109.88,119.05,13652300,0,0,2021,6,1,2021/06/01
5811,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,119.82,121.03,114.28,118.47,10579700,0,0,2021,7,1,2021/07/01
5812,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,119,139,118.38,126.15,18652300,0,0,2021,8,1,2021/08/01
5813,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,125.56,128.34,121.16,123.86,9591700,0,0,2021,9,1,2021/09/01
5814,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,124.4,134.25,119.12,131.94,9273900,0,0,2021,10,1,2021/10/01
5815,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,133.15,135.65,125.03,128.94,13505800,0,0,2021,11,1,2021/11/01
5816,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,128.64,133.02,124.33,130.4,10565700,0,0,2021,12,1,2021/12/01
5817,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,129.89,129.93,112.67,118.53,11564200,0,0,2022,1,1,2022/01/01
5818,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,118.97,125.21,112.24,117.29,12848600,0,0,2022,2,1,2022/02/01
5819,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,116.91,120.95,110.75,114.42,14911900,0,0,2022,3,1,2022/03/01
5820,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,115.18,121.98,111.56,112.98,13873100,0,0,2022,4,1,2022/04/01
5821,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,113.15,114.81,103.82,112.31,14694100,0,0,2022,5,1,2022/05/01
5822,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,112.6,116.13,106.41,113.19,11723800,0,0,2022,6,1,2022/06/01
5823,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,113.96,126.87,111.88,123.38,11966500,0,0,2022,7,1,2022/07/01
5824,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,123.02,126.61,114.87,117.97,15005300,0,0,2022,8,1,2022/08/01
5825,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,117.8,124.98,115.15,117.37,11525100,0,0,2022,9,1,2022/09/01
5826,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,117.11,125.89,115.36,124.5,13511400,0,0,2022,10,1,2022/10/01
5827,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,124.52,130.54,114.17,126.84,20272500,0,0,2022,11,1,2022/11/01
5828,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,127.29,130.52,119.93,125.47,13681100,0,0,2022,12,1,2022/12/01
5829,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,126.43,127.79,120.8,122.88,12991800,0,0,2023,1,1,2023/01/01
5830,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,121.96,132.01,116.11,126.17,13712700,0,0,2023,2,1,2023/02/01
5831,CBOE,Cboe Global Markets,Financials,Financial Exchanges & Data,1973,126.48,134.24,117.31,134.24,16920100,0,0,2023,3,1,2023/03/01
5832,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,43.68,46.6,43.24,45.69,35415200,0,0,2018,1,1,2018/01/01
5833,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,45.5,47.81,39.6,46.75,53867100,0,0,2018,2,1,2018/02/01
5834,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,46.76,48.39,43,47.22,49347200,0,0,2018,3,1,2018/03/01
5835,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,47.03,48.44,45.11,45.31,37121000,0,0,2018,4,1,2018/04/01
5836,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,45.25,48.16,45.05,46.19,42397500,0,0,2018,5,1,2018/05/01
5837,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,46.61,49.19,45.74,47.74,37882800,0,0,2018,6,1,2018/06/01
5838,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,47.28,50.43,46.51,49.8,29172100,0,0,2018,7,1,2018/07/01
5839,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,49.77,50.04,46.06,48.81,37101600,0,0,2018,8,1,2018/08/01
5840,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,48.79,48.82,43.56,44.1,31142800,0,0,2018,9,1,2018/09/01
5841,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,44.26,44.74,38.05,40.29,54273800,0,0,2018,10,1,2018/10/01
5842,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,40.64,44.41,39.36,43.68,37251200,0,0,2018,11,1,2018/11/01
5843,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,44.29,44.67,37.45,40.04,45002700,0,0,2018,12,1,2018/12/01
5844,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,39.45,45.81,37.85,45.75,32103800,0,0,2019,1,1,2019/01/01
5845,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,45.9,51.35,45.4,49.76,35527500,0,0,2019,2,1,2019/02/01
5846,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,50.19,51.46,47.97,49.45,36227300,0,0,2019,3,1,2019/03/01
5847,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,49.81,52.41,49.72,52.07,24216100,0,0,2019,4,1,2019/04/01
5848,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,52.1,52.36,45.16,45.7,39518900,0,0,2019,5,1,2019/05/01
5849,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,45.76,51.8,45.51,51.3,29523100,0,0,2019,6,1,2019/06/01
5850,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,52,53.69,51.39,53.01,24774900,0,0,2019,7,1,2019/07/01
5851,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,53.5,56.47,49,52.27,31880900,0,0,2019,8,1,2019/08/01
5852,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,51.68,56.14,51.19,53.01,34321000,0,0,2019,9,1,2019/09/01
5853,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,53.08,54.22,48.76,53.55,32391300,0,0,2019,10,1,2019/10/01
5854,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,53.86,58,52.75,57.02,30294100,0,0,2019,11,1,2019/11/01
5855,CBRE,CBRE Group,Real Estate,Real Estate Services,1906,57.09,61.54,55.6,61.29,29604600,0,0,2019,12,1,2019/12/01
